1,70.96,0.1569
2,78.6,0.2436
3,70.42,0.2009
4,60.14,0.1524
5,63.94,0.1336
6,67.53,0.1624
7,66.25,0.1757
8,62.92,0.1397
9,66.98,0.1293
10,60.18,0.2781
11,63.38,0.1116
12,58.32,0.2959
13,53.32,0.1883
14,58.04,0.2423
15,54.07,0.2244
16,52.28,0.1704
17,58.18,0.2619
18,59.79,0.244
19,51.31,0.1652
20,57.31,0.1622
21,52.22,0.2794
22,49.92,0.1782
23,50.08,0.1671
24,53.45,0.1089
25,52.24,0.1507
26,48.78,0.1816
27,51.47,0.2852
28,49.62,0.1724
29,48.46,0.1108
30,52.7,0.1936
31,46.71,0.1328
32,46.94,0.2184
33,48.25,0.06468
34,50.18,0.2781
35,47.37,0.1127
36,47.64,0.1188
37,50.87,0.1846
38,48.57,0.2466
39,49.47,0.0997
40,50.09,0.1215
41,47.51,0.2596
42,46.84,0.1681
43,46.01,0.1565
44,45.87,0.1199
45,44.86,0.1961
46,45.32,0.1324
47,43.9,0.08759
48,44.9,0.1371
49,45.94,0.1983
50,42.71,0.1589
51,46.7,0.1251
52,45.24,0.08383
53,45.33,0.2055
54,45.3,0.2609
55,43.83,0.2316
56,43.09,0.1747
57,43.72,0.1808
