ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
72,1,778.7,77.87,133.1,13.31,25.5,2.55,5.236,0.5242,3.788,0.3794,5.75,0.2355,4.915,0.176,5.189,0.2387,5.146,0.3893,3.006,0.2252,1.211,4.307,3.681,3.449,19.03,50.47
73,1,34.8,3.48,4.727,0.4738,0.8872,0.08931,0.1278,0.01318,nan,nan,2.676,0.1482,2.526,0.108,2.574,0.169,0.803,0.09224,nan,nan,0.2996,1.19,0.8448,0.3042,2.004,12.07
74,2,9.641,0.9643,1.06,0.107,0.2103,0.02158,0.02958,0.003451,nan,nan,0.9868,0.04041,0.97,0.03693,0.9308,0.03426,0.4921,0.04304,nan,nan,0.228,0.4309,0.1772,0.509,0.5341,3.782
75,1,666.3,66.63,116.6,11.66,22.45,2.245,4.7,0.4706,3.565,0.357,5.75,0.2353,4.858,0.1797,5.104,0.2327,4.907,0.3836,2.448,0.1777,0.9791,2.936,2.714,0.6477,16.17,41.89
76,2,6.636,0.6638,1.2,0.1213,0.1977,0.02045,0.03459,0.004175,nan,nan,1.319,0.05925,1.136,0.02711,1.08,0.02761,0.5452,0.03119,nan,nan,0.2614,0.228,nan,0.02114,0.5077,3.345
77,2,43.67,4.367,8.103,0.8108,0.9018,0.09064,0.1357,0.01419,0.2761,0.02835,3.061,0.1648,3.011,0.159,2.885,0.1446,1.073,0.09142,2.031,0.1561,0.7077,0.2866,0.5548,0.09769,1.1,5.236
78,2,18.51,1.851,2.245,0.2259,0.2297,0.02397,nan,nan,0.1084,0.0113,3.016,0.1727,2.861,0.1174,3.163,0.2196,nan,nan,3.008,0.2255,0.3184,0.2724,0.03185,0.6374,0.624,4.218
79,2,6.384,0.6387,1.471,0.148,0.1179,0.01287,nan,nan,0.04767,0.005166,1.02,0.0466,0.9904,0.03778,1.008,0.04307,nan,nan,0.9312,0.02469,0.3746,0.2573,0.1627,0.1826,0.5764,3.636
80,2,9.746,0.975,2.483,0.2498,0.06311,0.006773,nan,nan,nan,nan,1.555,0.04351,1.163,0.02995,1.023,0.1045,nan,nan,nan,nan,0.3561,0.2586,0.1232,0.1615,1.148,5.091
81,2,11.95,1.195,1.769,0.179,nan,nan,nan,nan,nan,nan,2.459,0.1285,2.49,0.1568,nan,nan,nan,nan,nan,nan,0.5027,0.2765,0.3729,0.3826,1.782,11.34
82,2,9.037,0.9039,1.448,0.1459,nan,nan,nan,nan,nan,nan,1.945,0.08436,1.801,0.06411,nan,nan,nan,nan,nan,nan,0.2878,0.1195,nan,0.1076,0.4231,3.491
83,2,7.777,0.7783,1.602,0.1619,nan,nan,nan,nan,nan,nan,0.9851,0.03419,1.026,0.04566,nan,nan,nan,nan,nan,nan,0.2555,0.4804,0.31,0.1545,1.428,7.563
84,1,620.1,62.01,121.5,12.15,9.616,0.9623,2.391,0.2396,3.423,0.3429,3.632,0.1331,2.673,0.09122,3.157,0.1599,2.423,0.1862,1.839,0.07822,0.9122,3.97,3.056,2.494,27.33,65.3
85,2,7.785,0.7791,1.247,0.1269,0.08761,0.009213,nan,nan,nan,nan,1.823,0.03481,2.66,0.1416,1.107,0.189,nan,nan,nan,nan,0.2303,0.8044,0.5112,0.3869,1.343,8.145
86,2,9.859,0.9867,1.906,0.1923,0.1668,0.0172,nan,nan,nan,nan,1.526,0.05067,7.604,0.6207,2.028,0.2489,nan,nan,nan,nan,0.2524,0.9529,0.6382,0.2766,3.062,18.62
87,2,11.45,1.147,3.232,0.3242,0.1046,0.01175,nan,nan,nan,nan,2.488,0.2134,2.756,0.3407,0.898,0.09457,nan,nan,nan,nan,0.3249,0.2561,nan,0.3571,5.357,38.69
88,2,17.95,1.796,2.778,0.2788,0.4697,0.04753,0.06217,0.006538,nan,nan,1.68,0.08351,1.568,0.0575,1.462,0.04428,1.7,0.1295,nan,nan,0.7485,0.2145,0.4428,0.5034,0.9466,6.254
