ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R,CM_SNR
33,2,2.645e+05,2.693e+04,4.908e+04,4955,9704,1051,1.304e+04,1368,4.908e+04,4955,2.612,0.05293,2.588,0.04986,2.681,0.06375,2.645,0.05846,2.588,0.04986,62.86,36.28,59.67,13.45,1.546e+04,593.2,nan,2.446
34,2,4.687e+05,4.719e+04,5.497e+04,5546,1.172e+04,1250,1.103e+04,1190,5.497e+04,5546,4.459,0.1137,4.294,0.09365,3.987,0.06329,4.569,0.1298,4.294,0.09365,55.17,33.02,48.45,16.66,1.413e+04,567.4,nan,2.389
35,2,7.418e+05,7.45e+04,8.689e+04,8738,1.94e+04,2016,1.587e+04,1684,8.689e+04,8738,7.223,0.201,7.056,0.1766,7.168,0.2089,7.64,0.2652,7.056,0.1766,52.56,36.72,51.32,20.85,1.646e+04,670.5,nan,2.335
36,2,2.071e+05,2.113e+04,3.289e+04,3337,5178,614.9,6565,739.9,3.289e+04,3337,3.626,0.1104,3.442,0.07355,3.369,0.06908,3.325,0.06257,3.442,0.07355,34.88,49.26,45.55,17.51,8647,438.4,nan,3.726
37,2,1.798e+05,1.838e+04,2.628e+04,2677,4734,561,5378,620.7,2.628e+04,2677,2.656,0.05884,2.638,0.05617,2.538,0.04635,2.757,0.07355,2.638,0.05617,29.38,37.63,21.35,20.38,9811,567.4,nan,1.348
38,2,1.503e+05,1.544e+04,2.281e+04,2331,3666,462.2,3843,481.4,2.281e+04,2331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.32,34.01,43.32,17.85,1.064e+04,644.8,nan,0.8425
39,2,1.538e+05,1.566e+04,1.561e+04,1609,3209,395.4,2288,330,1.561e+04,1609,2.633,0.06132,2.596,0.05147,2.661,0.05934,2.435,0.03908,2.596,0.05147,28.57,31.33,nan,13.99,5321,309.5,nan,2.518
40,2,1.052e+06,1.054e+05,9.803e+04,9853,2.295e+04,2368,2.379e+04,2454,9.803e+04,9853,9.066,0.2576,8.754,0.2159,8.954,0.2448,8.776,0.2249,8.754,0.2159,72.63,32.03,60.67,22.16,1.563e+04,619,nan,2.362
41,2,2.291e+05,2.322e+04,2.601e+04,2651,3631,473.3,3337,457.2,2.601e+04,2651,4.333,0.1041,4.412,0.108,4.281,0.09821,4.609,0.1458,4.412,0.108,28.81,32.39,nan,651.4,6651,361.1,nan,0.4274
42,2,1.399e+05,1.443e+04,2.178e+04,2229,4088,495.5,6511,712.1,2.178e+04,2229,4.522,0.1264,4.343,0.09918,4.366,0.1045,4.48,0.1211,4.343,0.09918,22.77,26.77,nan,5.224,8314,490,nan,2.429


