ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
96,1,4895,489.5,667.9,66.79,103.7,10.37,24.74,2.476,23.27,2.33,9.695,0.2196,6.919,0.2022,8.833,0.4359,8.831,0.7342,6.226,0.8061,8.462,2.401,7.311,4.175,251.8,400.7
97,1,4533,453.3,637.3,63.73,99.42,9.943,23.7,2.373,22.72,2.274,9.504,0.2376,6.849,0.2163,7.782,0.3514,8.185,0.64,6.688,0.7211,8.486,2.391,7.306,4.144,189.9,295.4
98,1,5406,540.6,715.3,71.53,104.4,10.44,24.83,2.486,21.97,2.2,9.919,0.2176,6.998,0.2049,9.723,0.4992,8.782,0.9795,6.41,0.8383,8.493,2.409,7.336,4.204,386.4,608.7
99,2,0.9012,0.0921,nan,nan,nan,nan,nan,nan,nan,nan,1.752,0.05045,nan,nan,nan,nan,nan,nan,nan,nan,0.1884,0.2003,nan,0.01112,0.3755,2.909
100,1,4492,449.2,633.2,63.33,98.7,9.871,23.53,2.355,22.61,2.263,9.434,0.2391,6.841,0.2056,7.728,0.3474,8.279,0.6209,6.834,0.5072,8.473,2.401,7.317,4.16,185.6,288.1
101,1,4966,496.6,675,67.5,104,10.4,24.79,2.482,23.24,2.327,9.741,0.2179,6.957,0.1962,8.995,0.4469,8.862,0.7474,6.204,0.837,8.49,2.402,7.325,4.222,268.2,441.7
102,1,5636,563.6,733.7,73.37,102.2,10.22,24.05,2.408,20.59,2.063,9.951,0.2047,6.977,0.2092,9.193,0.4573,7.328,1.219,7.183,0.8212,8.491,2.409,7.336,4.204,455.2,617
103,1,5013,501.3,678.7,67.87,104.2,10.42,24.89,2.492,23.18,2.321,9.834,0.2173,6.987,0.2147,9.147,0.4597,8.823,0.7733,6.162,0.8527,8.49,2.402,7.325,4.222,280,458
104,1,5581,558.1,729.8,72.98,103,10.31,24.33,2.436,21.08,2.112,9.974,0.2058,7.009,0.2098,9.112,0.4865,7.066,1.411,7.177,0.9074,8.491,2.409,7.336,4.204,435.5,614.9
105,1,4898,489.8,668.1,66.81,103.7,10.37,24.75,2.478,23.27,2.329,9.693,0.2196,6.917,0.2016,8.842,0.4376,8.807,0.7372,6.206,0.798,8.462,2.401,7.311,4.175,252.8,405.2
106,1,5112,511.2,687.2,68.72,104.4,10.44,24.84,2.487,22.81,2.284,9.888,0.2167,6.984,0.211,9.394,0.4771,8.789,0.8335,6.272,0.8813,8.501,2.407,7.338,4.234,305.4,483.2
107,2,0.619,0.06489,nan,nan,0.02589,0.004958,nan,nan,nan,nan,1.884,0.06236,nan,nan,0.8381,0.103,nan,nan,nan,nan,0.3111,0.1654,nan,0.151,0.4231,3.054
108,1,5452,545.2,719.1,71.92,103.9,10.39,24.72,2.476,21.71,2.174,9.952,0.2166,7.024,0.2066,9.843,0.5048,8.67,1.032,6.504,0.8267,8.492,2.409,7.336,4.204,403.2,624.1
109,1,112.8,11.28,14.1,1.413,0.1361,0.01699,nan,nan,nan,nan,2.191,0.08164,1.642,0.06105,4.828,0.8803,nan,nan,nan,nan,0.5767,0.8381,1.024,0.4307,11.8,41.6
110,1,110.6,11.06,13.78,1.381,0.101,0.01312,nan,nan,nan,nan,2.23,0.08628,1.663,0.07434,1.28,0.1971,nan,nan,nan,nan,0.5726,0.8389,1.02,0.2771,9.429,26.47
111,2,1.973,0.1984,0.1219,0.01884,nan,nan,nan,nan,nan,nan,1.936,0.05251,1.56,0.1333,nan,nan,nan,nan,nan,nan,0.2398,0.1386,nan,0.06472,0.4865,3.636
112,2,3.471,0.3488,0.3155,0.03933,0.06126,0.008648,nan,nan,nan,nan,3.327,0.1821,3.261,0.4346,1.512,0.1497,nan,nan,nan,nan,0.4339,0.1982,nan,2.3,0.9572,4.945
113,1,2666,266.6,330.6,33.06,62.88,6.289,12.85,1.287,10.63,1.065,7.939,0.2788,5.745,0.2559,5.939,0.2616,5.781,0.3384,5.682,0.522,2.11,5.17,5.347,2.201,98.82,157.2
114,1,2651,265.1,329.5,32.95,62.51,6.252,12.77,1.279,10.6,1.063,7.563,0.2839,5.503,0.2493,5.076,0.2123,6.003,0.4626,5.519,0.4436,2.111,5.173,5.351,2.123,97.75,158.4
115,1,2622,262.2,327.6,32.76,62.09,6.21,12.69,1.271,10.57,1.059,7.622,0.2872,5.589,0.2552,5.081,0.2174,5.948,0.4532,5.694,0.4246,2.107,5.184,5.351,2.083,94.39,152.1
