ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R
1,2,2.091e+04,2158,2.091e+04,2158,2.43e+04,2466,2.139e+04,2179,2.091e+04,2158,29.11,0.9385,29.11,0.9385,15.95,0.6245,14.36,0.6171,29.11,0.9385,3.04,4.465,5.12,0.7013,258.3,85.89,3.838
2,2,1.817e+04,1898,1.817e+04,1898,1.73e+04,1783,1.391e+04,1457,1.817e+04,1898,16.54,0.6319,16.54,0.6319,13.6,0.6407,14.19,0.7527,16.54,0.6319,3.826,2.825,4.347,0.9246,497.8,202.3,11.76
3,2,1630,220.2,1630,220.2,3563,374.8,2516,277.7,1630,220.2,8.848,0.2601,8.848,0.2601,9.311,0.3357,9.26,0.352,8.848,0.2601,1.93,2.167,1.18,0.2333,38.31,29.38,1.561
4,2,4459,516.4,4459,516.4,5910,625.6,4486,493.9,4459,516.4,17.12,0.6261,17.12,0.6261,17.12,0.9028,18.96,1.241,17.12,0.6261,3.017,2.12,2.692,1.271,86.84,49.72,3.129
5,2,3.047e+04,3122,3.047e+04,3122,1.789e+04,1867,1.637e+04,1724,3.047e+04,3122,26.27,0.9015,26.27,0.9015,20.01,1.261,18.37,1.296,26.27,0.9015,6.584,9.151,12.23,2.591,480.8,136.7,8.12
6,2,6.54e+04,6624,6.54e+04,6624,4.054e+04,4135,3.15e+04,3254,6.54e+04,6624,26.09,1.209,26.09,1.209,30.68,2.796,29.84,2.639,26.09,1.209,16.73,7.474,17.91,9.151,1439,343.6,7.756
7,2,4458,525,4458,525,1688,258.6,2222,304.3,4458,525,20.43,0.8667,20.43,0.8667,7.149,0.6719,20.95,1.675,20.43,0.8667,4.309,1.871,3.413,2.341,120,77.98,7.595
8,2,1343,200.3,1343,200.3,1249,166.1,750.7,129.6,1343,200.3,11.59,0.431,11.59,0.431,6.417,0.3211,5.541,0.2967,11.59,0.431,2.421,1.962,1.702,0.5057,37.04,32.77,1.597
9,2,1.431e+04,1517,1.431e+04,1517,1.118e+04,1186,8482,937.2,1.431e+04,1517,16.8,0.69,16.8,0.69,14.89,0.8542,14.31,0.8395,16.8,0.69,20.23,3.345,13.01,6.207,450.5,193.2,7.992
10,2,8147,900,8147,900,4297,524.2,5292,610,8147,900,13.1,0.5129,13.1,0.5129,13.36,0.8056,13.37,0.7885,13.1,0.5129,3.938,6.468,7.592,1.396,323.1,163.9,4.619
11,2,6456,730.6,6456,730.6,5450,607.6,4647,538.1,6456,730.6,22.08,0.9996,22.08,0.9996,11.95,0.6946,13.81,0.8604,22.08,0.9996,5.794,3.936,7.113,2.128,218.1,102.8,2.587
12,2,1.219e+04,1310,1.219e+04,1310,4151,559.9,3828,536.3,1.219e+04,1310,17.31,0.7872,17.31,0.7872,17.29,0.824,16.5,0.9283,17.31,0.7872,24.36,5.163,17.96,7.106,605.4,283.7,5.938
13,2,8071,895.3,8071,895.3,3556,453.9,3428,450.9,8071,895.3,26.05,1.196,26.05,1.196,18.3,0.7432,20.44,0.821,26.05,1.196,10.14,3.333,8.924,1.737,284.2,135.6,7.107
14,2,5450,632.6,5450,632.6,1671,302.9,1378,286.6,5450,632.6,14.66,0.6321,14.66,0.6321,14.17,0.565,13.84,0.6073,14.66,0.6321,6.701,3.283,6.962,3.458,319.9,156,10.25
15,2,1573,228.7,1573,228.7,1752,217.9,1909,231.9,1573,228.7,14.49,0.593,14.49,0.593,12.46,0.4431,13.97,0.5525,14.49,0.593,3.187,1.894,2.509,1.358,47.57,33.9,2.534
16,2,1437,216.1,1437,216.1,1268,179.5,811.5,151.6,1437,216.1,6.045,0.2384,6.045,0.2384,6.42,0.3243,6.284,0.2933,6.045,0.2384,2.477,4.889,4.728,0.526,65.13,39.55,4.711
17,2,2543,335.3,2543,335.3,1292,214.9,1485,228.2,2543,335.3,10.84,0.443,10.84,0.443,9.139,0.5625,7.718,0.5188,10.84,0.443,3.079,6.064,6.298,1.526,109.8,63.29,3.812
18,2,1416,215.6,1416,215.6,616.8,142,675.3,145.5,1416,215.6,10.87,0.4454,10.87,0.4454,10.83,0.7447,10.76,0.724,10.87,0.4454,3.884,1.649,2.697,0.8266,59.71,48.59,0.7564
19,2,1161,187.5,1161,187.5,419.5,123.2,334.2,121,1161,187.5,7.232,0.292,7.232,0.292,7.392,0.3593,7.794,0.4877,7.232,0.292,2.712,3.336,3.775,0.9761,75.35,46.33,1.297
20,2,818.5,149.1,818.5,149.1,85.12,64.73,30.65,55.96,818.5,149.1,4.897,0.1985,4.897,0.1985,1.654,0.3083,1.021,10.99,4.897,0.1985,2.233,2.734,2.544,1.533,63.54,45.2,1.306
21,2,1131,185.5,1131,185.5,373.3,119.2,365,119.1,1131,185.5,10.95,0.4605,10.95,0.4605,7.302,0.4195,6.56,0.3501,10.95,0.4605,1.829,2.863,2.044,1.057,49.49,40.68,2.044
22,2,3258,410.9,3258,410.9,1416,242.8,1149,229.5,3258,410.9,12.27,0.5373,12.27,0.5373,12.33,0.6074,12.3,0.5513,12.27,0.5373,5.138,4.071,6.754,2.643,208.2,116.4,8.716
23,2,704,137,704,137,251.2,95.84,275.2,97.19,704,137,13.33,0.5601,13.33,0.5601,12.96,0.7096,13.8,0.7146,13.33,0.5601,1.969,1.572,nan,1.016,31.29,27.12,nan
24,2,5538,644.8,5538,644.8,4228,496.3,5100,573.4,5538,644.8,16.17,0.7457,16.17,0.7457,14.97,0.6802,15.01,0.6288,16.17,0.7457,13.9,6.629,15.29,4.769,304.6,193.2,13.08
25,2,689.5,133.9,689.5,133.9,290,94.84,258.9,94.62,689.5,133.9,4.848,0.1878,4.848,0.1878,4.916,0.2154,4.978,0.2286,4.848,0.1878,1.715,4.28,3.122,1.158,49.49,44.07,3.431
26,2,639,129.5,639,129.5,121.9,85.36,124.1,85.09,639,129.5,9.831,0.4302,9.831,0.4302,9.053,0.5242,9.109,0.5456,9.831,0.4302,2.389,1.613,0.7242,1.443,35.44,40.68,nan
